Time,Age,Gender,PercentObese,SE
"[1971,1974]","[2,5]",All,5,-0.6
"[1976,1980]","[2,5]",All,5,-0.6
"[1988,1994]","[2,5]",All,7.2,-0.7
"[1999,2000]","[2,5]",All,10.3,-1.7
"[2001,2002]","[2,5]",All,10.6,-1.8
"[2003,2004]","[2,5]",All,13.9,-1.6
"[2005,2006]","[2,5]",All,10.7,-1.1
"[2007,2008]","[2,5]",All,10.1,-1.2
"[2009,2010]","[2,5]",All,12.1,-1.2
"[2011,2012]","[2,5]",All,8.4,-1.3
"[2013,2014]","[2,5]",All,9.4,-1.3
"[1971,1974]","[6,11]",All,4,-0.5
"[1976,1980]","[6,11]",All,6.5,-0.6
"[1988,1994]","[6,11]",All,11.3,-1
"[1999,2000]","[6,11]",All,15.1,-1.4
"[2001,2002]","[6,11]",All,16.2,-1.6
"[2003,2004]","[6,11]",All,18.8,-1.3
"[2005,2006]","[6,11]",All,15.1,-2.1
"[2007,2008]","[6,11]",All,19.6,-1.2
"[2009,2010]","[6,11]",All,18,-0.8
"[2011,2012]","[6,11]",All,17.7,-1.6
"[2013,2014]","[6,11]",All,17.4,-1.7
"[1971,1974]","[12,19]",All,6.1,-0.6
"[1976,1980]","[12,19]",All,5,-0.5
"[1988,1994]","[12,19]",All,10.5,-0.9
"[1999,2000]","[12,19]",All,14.8,-0.9
"[2001,2002]","[12,19]",All,16.7,-1.1
"[2003,2004]","[12,19]",All,17.4,-1.7
"[2005,2006]","[12,19]",All,17.8,-1.8
"[2007,2008]","[12,19]",All,18.1,-1.7
"[2009,2010]","[12,19]",All,18.4,-1.3
"[2011,2012]","[12,19]",All,20.5,-1.7
"[2013,2014]","[12,19]",All,20.6,-2.1
"[1971,1974]","[2,5]",M,5,-0.8
"[1976,1980]","[2,5]",M,4.7,-0.6
"[1988,1994]","[2,5]",M,6.2,-0.8
"[1999,2000]","[2,5]",M,9.5,-2.3
"[2001,2002]","[2,5]",M,10.7,-2.4
"[2003,2004]","[2,5]",M,15.1,-1.7
"[2005,2006]","[2,5]",M,10.4,-1.7
"[2007,2008]","[2,5]",M,9.3,-1.5
"[2009,2010]","[2,5]",M,14.4,-1.8
"[2011,2012]","[2,5]",M,9.5,-1.9
"[2013,2014]","[2,5]",M,8.8,-2
"[1971,1974]","[6,11]",M,4.3,-0.8
"[1976,1980]","[6,11]",M,6.6,-0.8
"[1988,1994]","[6,11]",M,11.6,-1.3
"[1999,2000]","[6,11]",M,15.8,-1.8
"[2001,2002]","[6,11]",M,17.5,-1.9
"[2003,2004]","[6,11]",M,19.9,-2
"[2005,2006]","[6,11]",M,16.2,-2.5
"[2007,2008]","[6,11]",M,21.2,-1.6
"[2009,2010]","[6,11]",M,20.1,-1
"[2011,2012]","[6,11]",M,16.4,-1.8
"[2013,2014]","[6,11]",M,18.8,-2.4
"[1971,1974]","[12,19]",M,6.1,-0.8
"[1976,1980]","[12,19]",M,4.8,-0.5
"[1988,1994]","[12,19]",M,11.3,-1.3
"[1999,2000]","[12,19]",M,14.8,-1.3
"[2001,2002]","[12,19]",M,17.6,-1.3
"[2003,2004]","[12,19]",M,18.2,-1.9
"[2005,2006]","[12,19]",M,18.2,-2.4
"[2007,2008]","[12,19]",M,19.3,-2.2
"[2009,2010]","[12,19]",M,19.6,-2.3
"[2011,2012]","[12,19]",M,20.3,-2.4
"[2013,2014]","[12,19]",M,19.8,-2.2
"[1971,1974]","[2,5]",F,4.9,-0.8
"[1976,1980]","[2,5]",F,5.3,-1
"[1988,1994]","[2,5]",F,8.2,-1
"[1999,2000]","[2,5]",F,11.2,-2.5
"[2001,2002]","[2,5]",F,10.5,-1.8
"[2003,2004]","[2,5]",F,12.7,-2.5
"[2005,2006]","[2,5]",F,11,-1.2
"[2007,2008]","[2,5]",F,10.9,-2.1
"[2009,2010]","[2,5]",F,9.6,-1.7
"[2011,2012]","[2,5]",F,7.2,-2.1
"[2013,2014]","[2,5]",F,10,-1.3
"[1971,1974]","[6,11]",F,3.6,-0.6
"[1976,1980]","[6,11]",F,6.4,-1
"[1988,1994]","[6,11]",F,11,-1.4
"[1999,2000]","[6,11]",F,14.3,-2.1
"[2001,2002]","[6,11]",F,14.8,-2.3
"[2003,2004]","[6,11]",F,17.6,-1.3
"[2005,2006]","[6,11]",F,14.1,-2.4
"[2007,2008]","[6,11]",F,18,-2.1
"[2009,2010]","[6,11]",F,15.7,-1
"[2011,2012]","[6,11]",F,19.1,-1.7
"[2013,2014]","[6,11]",F,15.9,-1.9
"[1971,1974]","[12,19]",F,6.2,-0.8
"[1976,1980]","[12,19]",F,5.3,-0.8
"[1988,1994]","[12,19]",F,9.7,-1.1
"[1999,2000]","[12,19]",F,14.8,-1
"[2001,2002]","[12,19]",F,15.7,-1.9
"[2003,2004]","[12,19]",F,16.4,-2.3
"[2005,2006]","[12,19]",F,17.3,-2.1
"[2007,2008]","[12,19]",F,16.8,-2
"[2009,2010]","[12,19]",F,17.1,-1.3
"[2011,2012]","[12,19]",F,20.7,-2
"[2013,2014]","[12,19]",F,21.4,-3.2
